rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1191,300243675,키얼 스헤르펀,300,25 LIVE (25 LIVE),12,509,1193,1266,0.4852
1192,268051539,에드윈 반데르사르,268,LN (LEGENDARY NUMBERS),8,8115,20022,21253,0.4851
1193,231167495,마누엘 노이어,231,VTR (Veteran),9,623,1583,1681,0.4850
1194,265225116,알렉스 메레트,265,LOL (LEGEND OF THE LOAN),10,1270,3003,3189,0.4850
1195,218215316,헤로니모 룰리,218,OTW (Ones To Watch),10,205,516,548,0.4850
1196,264230621,잔루이지 돈나룸마,264,FA (FREE AGENT),8,15158,36306,38579,0.4848
1197,201167948,위고 요리스,201,NHD (National Hero Debut),12,295,638,678,0.4848
1198,264210385,후이 실바,264,FA (FREE AGENT),9,1172,2955,3141,0.4847
1199,804243585,개빈 바주누,804,23NG (23 NEW GENERATION),8,258,631,671,0.4846
1200,852223885,알렉산더 뉘벨,852,FAC (Football Association Champions),10,243,630,670,0.4846
1201,234167495,마누엘 노이어,234,LH (Loyal Heroes),10,819,1968,2093,0.4846
1202,237192119,티보 쿠르투아,237,MC (Multi-League Champions),9,3423,8042,8554,0.4846
1203,251167495,마누엘 노이어,251,EBS (European Best Stars),8,12994,31707,33752,0.4844
1204,517240091,G. 비카리오,517,25 PL (25 Premium Live),8,3521,8530,9081,0.4844
1205,517215698,마이크 메냥,517,25 PL (25 Premium Live),8,4829,11546,12297,0.4843
1206,242210257,에데르송,242,20 UCL (20 UEFA Champions League),8,2542,6067,6462,0.4842
1207,517230869,우나이 시몬,517,25 PL (25 Premium Live),8,1463,3497,3725,0.4842
1208,252162835,사미르 한다노비치,252,CAP (Captain),8,2767,6438,6860,0.4841
1209,246190778,예룬 주트,246,UP (Unsung Players),8,442,990,1056,0.4839
1210,289019580,이운재,289,CC (CenturyClub),9,1353,3177,3389,0.4839
1211,512212432,조현우,512,23KLeague (23KLeague),13,200,506,540,0.4837
